Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,100nF,
C10,0402,1,100nF,
C100,0402,1,100nF,
C101,0402,1,100nF,
C102,0402,1,100nF,
C103,0402,1,100nF,
C104,0402,1,100nF,
C105,0402,1,100nF,
C106,0402,1,100nF,
C107,0402,1,100nF,
C108,0402,1,100nF,
C109,0402,1,100nF,
C11,0402,1,100nF,
C110,0402,1,100nF,
C111,0402,1,100nF,
C112,0402,1,100nF,
C113,0402,1,100nF,
C114,0402,1,100nF,
C115,0402,1,100nF,
C116,0402,1,100nF,
C117,0402,1,100nF,
C118,0402,1,100nF,
C119,0402,1,100nF,
C12,0402,1,100nF,
C120,0402,1,100nF,
C121,0402,1,100nF,
C122,0402,1,100nF,
C123,0603,1,1uF,
C124,0603,1,1uF,
C125,1210,1,22uF,
C126,1210,1,22uF,
C127,0402,1,100nF,
C128,0402,1,100nF,
C129,0402,1,100nF,
C13,0402,1,100nF,
C130,0402,1,100nF,
C131,0402,1,100nF,
C132,0402,1,100nF,
C133,0402,1,100nF,
C134,0402,1,100nF,
C135,0402,1,100nF,
C136,0402,1,100nF,
C137,0805,1,4.7uF,
C138,0402,1,15pF,
C139,0402,1,15pF,
C14,0402,1,100nF,
C140,0402,1,1nF,
C141,0402,1,10nF,
C142,0805,1,4.7uF,
C143,0402,1,15pF,
C144,0402,1,15pF,
C145,1210,1,10uF,
C146,1210,1,10uF,
C147,0402,1,100nF,
C148,1210,1,10uF,
C149,1210,1,10uF,
C15,0402,1,100nF,
C150,1210,1,10uF,
C151,1210,1,10uF,
C152,1210,1,10uF,
C153,1210,1,10uF,
C154,1210,1,10uF,
C155,1210,1,10uF,
C156,1210,1,10uF,
C157,0805,1,1uF,
C158,0805,1,1uF,
C159,1210,1,10uF,
C16,0603,1,1uF,
C160,0805,1,1uF,
C161,0805,1,100nF,
C162,0402,1,100nF,
C163,0402,1,100nF,
C164,0402,1,100nF,
C165,0402,1,100nF,
C166,0402,1,100nF,
C167,0402,1,100nF,
C168,1210,1,10uF,
