Designator,Mid X,Mid Y,Rotation,Layer
C1,117.6,54.3,270.0,bottom
C10,53.9,45.5,90.0,bottom
C100,85.15,29.8,90.0,top
C101,95.2,41.45,270.0,top
C102,59.1,44.3,0.0,bottom
C103,58.45,48.3,0.0,bottom
C104,57.25,43.5,180.0,bottom
C105,58.9,38.25,270.0,top
C106,87.9,29.85,180.0,bottom
C107,87.9,30.8,180.0,bottom
C108,88.2,33.4,270.0,bottom
C109,58.8,46.3,90.0,bottom
C11,54.9,45.5,90.0,bottom
C110,87.9,31.75,180.0,bottom
C111,86.0,39.45,270.0,bottom
C112,82.0,56.2,90.0,bottom
C113,87.0,39.45,270.0,bottom
C114,81.0,56.2,90.0,bottom
C115,92.5,41.8,90.0,bottom
C116,97.75,45.5,0.0,bottom
C117,86.0,56.2,90.0,bottom
C118,93.05,56.2,90.0,bottom
C119,97.75,50.3,0.0,bottom
C12,109.35,49.5,0.0,top
C120,82.25,39.45,270.0,bottom
C121,81.25,39.45,270.0,bottom
C122,87.0,56.2,90.0,bottom
C123,97.9,51.6,0.0,bottom
C124,97.9,44.2,0.0,bottom
C125,98.4,41.8,0.0,bottom
C126,98.4,54.0,0.0,bottom
C127,58.8,42.3,270.0,bottom
C128,91.4,41.45,270.0,top
C129,92.05,43.25,0.0,bottom
C13,105.1,54.0,0.0,top
C130,93.3,41.45,270.0,top
C131,92.35,41.45,270.0,top
C132,86.1,29.8,90.0,top
C133,88.95,29.8,90.0,top
C134,94.25,41.45,270.0,top
C135,87.05,29.8,90.0,top
C136,88.0,29.8,90.0,top
C137,32.0,69.2,270.0,top
C138,44.3,45.95,90.0,top
C139,44.3,44.05,90.0,top
C14,105.9,49.05,270.0,top
C140,45.6,48.5,90.0,top
C141,44.1,49.1,0.0,top
C142,8.2,61.5,180.0,bottom
C143,44.3,51.2,270.0,top
C144,44.3,53.1,270.0,top
C145,17.5,18.5,90.0,bottom
C146,22.1,10.8,90.0,bottom
C147,40.75,71.05,90.0,top
C148,33.0,18.5,90.0,bottom
C149,36.9,10.85,90.0,bottom
C15,109.1,34.5,0.0,top
